date,time,platform,post,caption_file,asset_file,status,notes
2026-09-15,11:30,Instagram,F01 carousel x4,captions/F01-2026-09-15-problem-six-places.md,feed/2026-09-15-problem-six-places/slide-1..4.png,READY,"Instagram-native scheduling; crop 4:5; hashtags in first comment"
2026-09-15,12:30,Facebook,F01 carousel x4 (adapted),captions/F01-2026-09-15-problem-six-places.md,feed/_facebook/2026-09-15-problem-six-places/slide-1..4.png,READY,"Business Suite; Facebook caption section; UTM utm_content=f01"
2026-09-15,12:00,Instagram Story,S01 poll x2 frames,captions/STORIES-2026-09.md,stories/2026-09-15-where-do-you-track/frame-1..2.png,MANUAL,"Poll sticker — not available in Business Suite; publish from the phone"
2026-09-16,19:00,Instagram Story,S02 reshare x2 frames,captions/STORIES-2026-09.md,stories/2026-09-16-six-places-reshare/frame-1..2.png,READY,"Schedulable in Business Suite; add link sticker utm_content=s02"
2026-09-17,18:30,Instagram,F02 carousel x3,captions/F02-2026-09-17-needs-your-attention.md,feed/2026-09-17-needs-your-attention/slide-1..3.png,READY,"Product post; real screenshots"
2026-09-17,19:30,Facebook,F02 carousel x3 (adapted),captions/F02-2026-09-17-needs-your-attention.md,feed/_facebook/2026-09-17-needs-your-attention/slide-1..3.png,READY,"UTM utm_content=f02"
2026-09-18,12:00,Instagram Story,S03 question box x2 frames,captions/STORIES-2026-09.md,stories/2026-09-18-hand-over-tomorrow/frame-1..2.png,MANUAL,"Question sticker — phone only"
2026-09-19,11:30,Instagram,F03 carousel x5,captions/F03-2026-09-19-ten-to-twenty-five-clients.md,feed/2026-09-19-ten-to-twenty-five-clients/slide-1..5.png,READY,"Education post"
2026-09-19,12:30,Facebook,F03 carousel x5 (adapted),captions/F03-2026-09-19-ten-to-twenty-five-clients.md,feed/_facebook/2026-09-19-ten-to-twenty-five-clients/slide-1..5.png,READY,"UTM utm_content=f03"
2026-09-19,12:30,Instagram Story,S04 poll x2 frames,captions/STORIES-2026-09.md,stories/2026-09-19-spreadsheet-or-memory/frame-1..2.png,MANUAL,"Poll sticker — phone only"
2026-09-21,19:00,Instagram Story,S05 product x2 frames,captions/STORIES-2026-09.md,stories/2026-09-21-two-sessions-left/frame-1..2.png,READY,"Schedulable; link sticker utm_content=s05"
2026-09-22,19:00,Instagram,F04 carousel x5,captions/F04-2026-09-22-client-session-package-payment.md,feed/2026-09-22-client-session-package-payment/slide-1..5.png,READY,"Workflow post; four real screenshots"
2026-09-22,20:00,Facebook,F04 carousel x5 (adapted),captions/F04-2026-09-22-client-session-package-payment.md,feed/_facebook/2026-09-22-client-session-package-payment/slide-1..5.png,READY,"UTM utm_content=f04"
2026-09-22,20:00,Instagram Story,S06 workflow x3 frames,captions/STORIES-2026-09.md,stories/2026-09-22-workflow-sequence/frame-1..3.png,READY,"Schedulable; link sticker utm_content=s06"
2026-09-24,18:00,Instagram,F05 carousel x4,captions/F05-2026-09-24-follow-up-without-nagging.md,feed/2026-09-24-follow-up-without-nagging/slide-1..4.png,READY,"Education post; comment-led CTA"
2026-09-24,19:00,Facebook,F05 carousel x4 (adapted),captions/F05-2026-09-24-follow-up-without-nagging.md,feed/_facebook/2026-09-24-follow-up-without-nagging/slide-1..4.png,READY,"No link in this one — it is a discussion post"
2026-09-24,19:00,Instagram Story,S07 slider x2 frames,captions/STORIES-2026-09.md,stories/2026-09-24-chasing-a-payment/frame-1..2.png,MANUAL,"Emoji slider — phone only"
2026-09-26,11:30,Instagram,F06 carousel x3,captions/F06-2026-09-26-how-many-sessions-left.md,feed/2026-09-26-how-many-sessions-left/slide-1..3.png,READY,"Product post; real screenshots"
2026-09-26,12:30,Facebook,F06 carousel x3 (adapted),captions/F06-2026-09-26-how-many-sessions-left.md,feed/_facebook/2026-09-26-how-many-sessions-left/slide-1..3.png,READY,"UTM utm_content=f06"
2026-09-26,12:30,Instagram Story,S08 poll x2 frames,captions/STORIES-2026-09.md,stories/2026-09-26-how-many-clients/frame-1..2.png,MANUAL,"Poll sticker — phone only"
2026-09-28,11:00,Instagram,F07 single,captions/F07-2026-09-28-client-about-to-leave.md,feed/2026-09-28-client-about-to-leave/slide-1.png,READY,"Single 4:5"
2026-09-28,12:00,Facebook,F07 single (adapted),captions/F07-2026-09-28-client-about-to-leave.md,feed/_facebook/2026-09-28-client-about-to-leave/slide-1.png,READY,"Question post, no link"
2026-09-28,12:00,Instagram Story,S09 question box x2 frames,captions/STORIES-2026-09.md,stories/2026-09-28-client-going-quiet/frame-1..2.png,MANUAL,"Question sticker — phone only"
2026-09-30,19:00,Instagram,F08 carousel x2,captions/F08-2026-09-30-run-your-business.md,feed/2026-09-30-run-your-business/slide-1..2.png,READY,"Brand close of the month"
2026-09-30,20:00,Facebook,F08 carousel x2 (adapted),captions/F08-2026-09-30-run-your-business.md,feed/_facebook/2026-09-30-run-your-business/slide-1..2.png,READY,"UTM utm_content=f08"
2026-09-30,20:00,Instagram Story,S10 recap x2 frames,captions/STORIES-2026-09.md,stories/2026-09-30-month-recap/frame-1..2.png,READY,"Schedulable; link sticker utm_content=s10"
